레벨,화면번호,곡,카테고리,존,존번호,출처
S3,18,퍼센트 엑스,ORIGINAL,XX,23,실제
S3,19,포세이돈,ORIGINAL,XX,29,실제
S3,20,아드레날린 블래스터,ORIGINAL,XX,30,실제
S3,21,스타드림 (feat. Romelon),ORIGINAL,XX,39,실제
S3,22,디 엔드 오브 더 월드 ft. Skizzo,ORIGINAL,XX,43,실제
S3,23,포가튼 뱀파이어,ORIGINAL,XX,44,실제
S3,24,더 레버리,ORIGINAL,XX,47,실제
S3,25,라스트 리버스,ORIGINAL,PRIME 2,4,실제
S3,26,앵귀시드 언메이킹,ORIGINAL,PRIME 2,22,실제
S3,27,헤이 유,ORIGINAL,PRIME 2,24,실제
S3,28,업 앤 업 (Produced by AWAL),ORIGINAL,PRIME 2,27,실제
S3,29,트래블 투 퓨처,ORIGINAL,PRIME 2,28,실제
S3,30,라티노 바이러스,ORIGINAL,PRIME,3,실제
S3,31,메테오라이즈,ORIGINAL,PRIME,13,실제
S3,32,리무버블 디스코,ORIGINAL,PRIME,18,실제
S3,33,설탕음모론,ORIGINAL,PRIME,25,실제
S3,34,무브 댓 바디!,ORIGINAL,PRIME,28,실제
S3,35,스콜피온 킹,ORIGINAL,PRIME,29,실제
S3,36,유 어게인 마이 러브,ORIGINAL,PRIME,33,실제
S3,37,모멘트 데이,ORIGINAL,PRIME,36,실제
S3,38,유니크,ORIGINAL,FIESTA~FIESTA 2,6,실제
S3,39,유 갓 미 락킹,ORIGINAL,FIESTA~FIESTA 2,9,실제
S3,40,여래아,ORIGINAL,FIESTA~FIESTA 2,14,실제
S3,41,네이티브,ORIGINAL,FIESTA~FIESTA 2,30,실제
S3,42,야근,ORIGINAL,FIESTA~FIESTA 2,38,실제
S3,43,파반느,ORIGINAL,FIESTA~FIESTA 2,39,실제
S3,44,팬텀 -인터메조-,ORIGINAL,FIESTA~FIESTA 2,56,실제
S3,45,블레이즈 이모션,ORIGINAL,NX~NXA,1,실제
S3,46,사람들은 몰랐다네,ORIGINAL,NX~NXA,4,실제
S3,47,케이.오.에이 : 엘리스 인 원더월드,ORIGINAL,NX~NXA,6,실제
S3,48,파이널 오디션 에피소드 2-X,ORIGINAL,NX~NXA,9,실제
S3,49,펌트리스 8비트 ver.,ORIGINAL,NX~NXA,16,실제
S3,50,펌트리스 꽈뜨로,ORIGINAL,NX~NXA,23,실제
S3,51,기타 맨,ORIGINAL,NX~NXA,24,실제
S3,52,사랑가 2006,ORIGINAL,NX~NXA,32,실제
S3,53,미운 오리 새끼,ORIGINAL,NX~NXA,36,실제
S3,54,파이널 오디션 에피소드 2-1,ORIGINAL,NX~NXA,37,실제
S3,55,제이 봉,ORIGINAL,1st~ZERO,14,실제
S3,56,캐논 디,ORIGINAL,1st~ZERO,17,실제
S3,57,펌프 미 아마데우스,ORIGINAL,1st~ZERO,26,실제
S3,58,비트 오브 더 워,ORIGINAL,1st~ZERO,32,실제
S3,59,닥터 엠,ORIGINAL,1st~ZERO,34,실제
S3,60,엠페러,ORIGINAL,1st~ZERO,35,실제
S3,61,포인트 브레이크,ORIGINAL,1st~ZERO,41,실제
S3,62,틸 디 엔드 오브 타임,ORIGINAL,1st~ZERO,46,실제
S3,63,부크,ORIGINAL,1st~ZERO,52,실제
S3,64,롤링 크리스마스,ORIGINAL,1st~ZERO,60,실제
S3,65,올 아이 원트 포 크리스마스,ORIGINAL,1st~ZERO,61,실제
S3,66,미스터 라푸스,ORIGINAL,1st~ZERO,67,실제
S3,67,터키 행진곡,ORIGINAL,1st~ZERO,70,실제
S3,68,악몽,ORIGINAL,1st~ZERO,73,실제
S3,69,에모모모,WORLDMUSIC,PHOENIX,103,실제
S3,70,슬랩스틱 파르페,WORLDMUSIC,XX,65,실제
S3,71,라라,WORLDMUSIC,XX,75,실제
S3,72,브레인 파워,WORLDMUSIC,XX,82,실제
S3,73,허쉬,WORLDMUSIC,PRIME 2,43,실제
S3,74,셀피쉬니스,WORLDMUSIC,PRIME,51,실제
S3,75,아마이 유우와쿠 데인저러스,JMUSIC,PRIME,62,실제
S3,76,요로피쿠 피쿠요로!,JMUSIC,PRIME,63,실제
S3,77,배드 애플!! feat. Nomico,JMUSIC,PRIME,68,실제
S3,78,모노리스,WORLDMUSIC,FIESTA~FIESTA 2,91,실제
S3,79,레이디버그,WORLDMUSIC,FIESTA~FIESTA 2,92,실제
S3,80,키티 캣,WORLDMUSIC,FIESTA~FIESTA 2,93,실제
S3,81,슈샤,WORLDMUSIC,FIESTA~FIESTA 2,97,실제
S3,82,스타 커맨드,WORLDMUSIC,FIESTA~FIESTA 2,98,실제
S3,83,왓 해픈드,WORLDMUSIC,FIESTA~FIESTA 2,99,실제
S3,84,엑스 레이브,WORLDMUSIC,FIESTA~FIESTA 2,102,실제
S3,85,스멜스 라이크 어 초콜릿,WORLDMUSIC,FIESTA~FIESTA 2,103,실제
S3,86,스위트 원더랜드,XROSS,PHOENIX,132,실제
S3,87,싸이클링!,XROSS,XX,99,실제
S3,88,하우스플랜,XROSS,XX,108,실제
S3,89,크로스 타임,XROSS,PRIME 2,48,실제
S3,90,사월,XROSS,PRIME 2,58,실제
S3,91,크리스마스의 기억,XROSS,PRIME 2,60,실제
S4,2,고민중독,KPOP,PHOENIX 2,2,실제
S4,3,뱅 뱅,KPOP,PHOENIX 2,4,실제
S4,4,스톰,KPOP,PHOENIX,1,실제
S4,5,풀 문,KPOP,XX,2,실제
S4,6,타이밍,KPOP,XX,3,실제
S4,7,유 앤 아이,KPOP,XX,5,실제
S4,8,디그니티,KPOP,1st~ZERO,2,실제
S4,9,또다른 진심,KPOP,1st~ZERO,4,실제
S4,10,응징 레스토랑,ORIGINAL,PHOENIX 2,9,실제
S4,11,하이웨이 체이서,ORIGINAL,PHOENIX,6,실제
S4,12,이터널 유니버스,ORIGINAL,PHOENIX,7,실제
S4,13,얼티밋 아이즈,ORIGINAL,PHOENIX,10,실제
S4,14,냥-턴 (feat. KuTiNA),ORIGINAL,PHOENIX,11,실제
S4,15,더 아포칼립스,ORIGINAL,PHOENIX,14,실제
S4,16,추격,ORIGINAL,PHOENIX,26,실제
S4,17,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",ORIGINAL,PHOENIX,35,실제
S4,18,소닉 붐,ORIGINAL,PHOENIX,48,실제
S4,19,에렌델,ORIGINAL,PHOENIX,60,실제
S4,20,아테나의 방패,ORIGINAL,PHOENIX,62,실제
S4,21,위더 가든,ORIGINAL,PHOENIX,64,실제
S4,22,웨딩 크래셔,ORIGINAL,XX,8,실제
S4,23,슈가 플럼,ORIGINAL,XX,16,실제
S4,24,마카롱 데이,ORIGINAL,XX,27,실제
S4,25,아이스 오브 데스,ORIGINAL,XX,28,실제
S4,26,오르비트 스테빌라이저,ORIGINAL,XX,34,실제
S4,27,탄탄멘,ORIGINAL,XX,38,실제
S4,28,아마겟돈,ORIGINAL,XX,45,실제
S4,29,시그너스,ORIGINAL,XX,48,실제
S4,30,트로피카닉,ORIGINAL,XX,49,실제
S4,31,슈퍼 카프리시오,ORIGINAL,PRIME 2,5,실제
S4,32,갓 모드 feat. skizzo,ORIGINAL,PRIME 2,9,실제
S4,33,브레이크 아웃,ORIGINAL,PRIME 2,15,실제
S4,34,사라반드,ORIGINAL,PRIME 2,16,실제
S4,35,가장신자,ORIGINAL,PRIME 2,17,실제
S4,36,아르카나 포스,ORIGINAL,PRIME 2,20,실제
S4,37,트위스트 오브 페이트 (feat. Ruriling),ORIGINAL,PRIME 2,25,실제
S4,38,HTTP,ORIGINAL,PRIME 2,26,실제
S4,39,레이브 언틸 디 어스 엔드,ORIGINAL,PRIME 2,29,실제
S4,40,네메시스,ORIGINAL,PRIME,1,실제
S4,41,엘리시움,ORIGINAL,PRIME,4,실제
S4,42,실루엣 이펙트,ORIGINAL,PRIME,6,실제
S4,43,차이니즈 레스토랑,ORIGINAL,PRIME,7,실제
S4,44,아발란치,ORIGINAL,PRIME,8,실제
S4,45,레퀴엠,ORIGINAL,PRIME,10,실제
S4,46,유 갓 미 크레이지,ORIGINAL,PRIME,11,실제
S4,47,B2,ORIGINAL,PRIME,12,실제
S4,48,헤스티아,ORIGINAL,PRIME,15,실제
S4,49,암피트리온,ORIGINAL,PRIME,16,실제
S4,50,슈퍼 판타지,ORIGINAL,PRIME,19,실제
S4,51,바이올렛 퍼퓸,ORIGINAL,PRIME,20,실제
S4,52,레드 스완,ORIGINAL,PRIME,21,실제
S4,53,알레그로 피유 모쏘,ORIGINAL,PRIME,26,실제
S4,54,캄파넬라,ORIGINAL,PRIME,32,실제
S4,55,레미니센스,ORIGINAL,PRIME,35,실제
S4,56,엘리제,ORIGINAL,FIESTA~FIESTA 2,1,실제
S4,57,엑시던트,ORIGINAL,FIESTA~FIESTA 2,7,실제
S4,58,디,ORIGINAL,FIESTA~FIESTA 2,8,실제
S4,59,루시드(PIU Edit),ORIGINAL,FIESTA~FIESTA 2,10,실제
S4,60,팔로우 미,ORIGINAL,FIESTA~FIESTA 2,13,실제
S4,61,클리너,ORIGINAL,FIESTA~FIESTA 2,21,실제
S4,62,리얼리티,ORIGINAL,FIESTA~FIESTA 2,23,실제
S4,63,테이크 아웃,ORIGINAL,FIESTA~FIESTA 2,24,실제
S4,64,버터플라이,ORIGINAL,FIESTA~FIESTA 2,25,실제
S4,65,오버블로우,ORIGINAL,FIESTA~FIESTA 2,26,실제
S4,66,헝가리 무곡 V,ORIGINAL,FIESTA~FIESTA 2,28,실제
S4,67,마왕,ORIGINAL,FIESTA~FIESTA 2,29,실제
S4,68,조나단의 꿈,ORIGINAL,FIESTA~FIESTA 2,42,실제
S4,69,소서리스 엘리제,ORIGINAL,FIESTA~FIESTA 2,44,실제
S4,70,사랑가 -2막-,ORIGINAL,FIESTA~FIESTA 2,45,실제
S4,71,데스티네이션,ORIGINAL,FIESTA~FIESTA 2,47,실제
S4,72,제네시스,ORIGINAL,FIESTA~FIESTA 2,50,실제
S4,73,테크 -클럽 코펜하겐-,ORIGINAL,FIESTA~FIESTA 2,52,실제
S4,74,안녕 윌리엄,ORIGINAL,FIESTA~FIESTA 2,53,실제
S4,75,터키 행진곡 -미니멀튠즈-,ORIGINAL,FIESTA~FIESTA 2,54,실제
S4,76,겟 업 (앤 고),ORIGINAL,FIESTA~FIESTA 2,55,실제
S4,77,펌핑 점핑,ORIGINAL,FIESTA~FIESTA 2,58,실제
S4,78,테프리스,ORIGINAL,FIESTA~FIESTA 2,81,실제
S4,79,캐논 X.1,ORIGINAL,NX~NXA,2,실제
S4,80,디제이 오타다,ORIGINAL,NX~NXA,5,실제
S4,81,마이 드림즈,ORIGINAL,NX~NXA,7,실제
S4,82,토카타,ORIGINAL,NX~NXA,8,실제
S4,83,비트 더 고스트,ORIGINAL,NX~NXA,18,실제
S4,84,카프리스 오브 오타다,ORIGINAL,NX~NXA,19,실제
S4,85,몽키 핑거즈 2,ORIGINAL,NX~NXA,21,실제
S4,86,패스터 Z,ORIGINAL,NX~NXA,22,실제
S4,87,키메라,ORIGINAL,NX~NXA,31,실제
S4,88,두 유 노우 댓-올드 스쿨,ORIGINAL,NX~NXA,33,실제
S4,89,투우사의 노래,ORIGINAL,NX~NXA,35,실제
S4,90,파이널 오디션 에피소드 2-1,ORIGINAL,NX~NXA,37,실제
S4,91,비트 오브 더 워 2,ORIGINAL,1st~ZERO,5,실제
S4,92,월광,ORIGINAL,1st~ZERO,6,실제
S4,93,위치 닥터,ORIGINAL,1st~ZERO,7,실제
S4,94,러브 이즈 어 데인저 존 pt.2,ORIGINAL,1st~ZERO,8,실제
S4,95,파파 곤잘레스,ORIGINAL,1st~ZERO,10,실제
S4,96,점프,ORIGINAL,1st~ZERO,11,실제
S4,97,무혼 2,ORIGINAL,1st~ZERO,16,실제
S4,98,몽키 핑거즈,ORIGINAL,1st~ZERO,24,실제
S4,99,블레이징,ORIGINAL,1st~ZERO,25,실제
S4,100,컴 투 미,ORIGINAL,1st~ZERO,33,실제
S4,101,겟 유어 그루브 온,ORIGINAL,1st~ZERO,36,실제
S4,102,러브 이즈 어 데인저 존,ORIGINAL,1st~ZERO,37,실제
S4,103,마이웨이,ORIGINAL,1st~ZERO,40,실제
S4,104,탑 시티,ORIGINAL,1st~ZERO,43,실제
S4,105,윈터,ORIGINAL,1st~ZERO,44,실제
S4,106,틸 디 엔드 오브 타임,ORIGINAL,1st~ZERO,46,실제
S4,107,오이 오이 오이,ORIGINAL,1st~ZERO,47,실제
S4,108,위 윌 밋 어게인,ORIGINAL,1st~ZERO,48,실제
S4,109,셋 미 업,ORIGINAL,1st~ZERO,50,실제
S4,110,댄스 위드 미,ORIGINAL,1st~ZERO,51,실제
S4,111,우편마차,ORIGINAL,1st~ZERO,53,실제
S4,112,치킨 윙,ORIGINAL,1st~ZERO,54,실제
S4,113,파이널 오디션 에피소드 1,ORIGINAL,1st~ZERO,56,실제
S4,114,베토벤 바이러스,ORIGINAL,1st~ZERO,62,실제
S4,115,무혼,ORIGINAL,1st~ZERO,66,실제
S4,116,파이널 오디션 2,ORIGINAL,1st~ZERO,68,실제
S4,117,엑스트라바간자,ORIGINAL,1st~ZERO,80,실제
S4,118,퍼페츄얼,WORLDMUSIC,PHOENIX,83,실제
S4,119,갤럭시 컬랩스,WORLDMUSIC,PHOENIX,85,실제
S4,120,굿바운스,WORLDMUSIC,PHOENIX,100,실제
S4,121,플래시 아웃,WORLDMUSIC,PHOENIX,116,실제
S4,122,솔저스 (TANO*C W TEAM RED ANTHEM),WORLDMUSIC,PHOENIX,129,실제
S4,123,호랑풍류가,WORLDMUSIC,PHOENIX,130,실제
S4,124,천년이 지나서,WORLDMUSIC,XX,74,실제
S4,125,라이프 이즈 피아노,WORLDMUSIC,XX,83,실제
S4,126,크로스 레이 (feat. 月下Lia),WORLDMUSIC,XX,87,실제
S4,127,코스미컬 리듬,WORLDMUSIC,PRIME,52,실제
S4,128,마타도르,WORLDMUSIC,PRIME,54,실제
S4,129,필 마이 해피니스,WORLDMUSIC,PRIME,56,실제
S4,130,까랴위사따,WORLDMUSIC,PRIME,59,실제
S4,131,스타더스트 오버드라이브,WORLDMUSIC,PRIME,61,실제
S4,132,임프린팅,JMUSIC,PRIME,64,실제
S4,133,서든 로맨스 [PIU Edit],JMUSIC,PRIME,65,실제
S4,134,미토츠다이라,JMUSIC,PRIME,66,실제
S4,135,스마일 다이어리,JMUSIC,PRIME,67,실제
S4,136,프라임,JMUSIC,PRIME,69,실제
S4,137,퀸 오브 더 레드,JMUSIC,PRIME,70,실제
S4,138,아이디얼라이즈드 로맨스,JMUSIC,PRIME,71,실제
S4,139,저스트 홀드 온 (To All Fighters),JMUSIC,PRIME,72,실제
S4,140,팝 더 트랙,WORLDMUSIC,FIESTA~FIESTA 2,85,실제
S4,141,파사칼리아,WORLDMUSIC,FIESTA~FIESTA 2,86,실제
S4,142,하드코어 오브 더 노스,WORLDMUSIC,FIESTA~FIESTA 2,94,실제
S4,143,트라이브 어택커,WORLDMUSIC,FIESTA~FIESTA 2,95,실제
S4,144,유토피아,WORLDMUSIC,FIESTA~FIESTA 2,96,실제
S4,145,가고일,WORLDMUSIC,FIESTA~FIESTA 2,100,실제
S4,146,네크로맨시,WORLDMUSIC,FIESTA~FIESTA 2,104,실제
S4,147,슈퍼☆하라구로☆팝,XROSS,PHOENIX 2,25,실제
S4,148,오벨리스크,XROSS,XX,96,실제
S4,149,일 더하기 일은 귀요미,XROSS,XX,103,실제
S4,150,히페리온,XROSS,PRIME 2,51,실제
S4,151,블랙 드래곤,XROSS,PRIME 2,52,실제
S4,152,스타트 온 레드,XROSS,PRIME 2,54,실제
S4,153,아스테리오스 -리엔트리-,XROSS,PRIME 2,62,실제
S4,154,클루,XROSS,PRIME 2,68,실제
S5,2,빌려온 고양이,KPOP,PHOENIX 2,3,실제
S5,3,404 (뉴 에라),KPOP,PHOENIX 2,5,실제
S5,4,비행기,KPOP,PHOENIX,2,실제
S5,5,노스텔지어,KPOP,PHOENIX,3,실제
S5,6,조깅,KPOP,XX,1,실제
S5,7,날아올라,KPOP,XX,4,실제
S5,8,체이스 미,KPOP,PRIME 2,1,실제
S5,9,슬램,KPOP,1st~ZERO,3,실제
S5,10,사월의 축제,ORIGINAL,PHOENIX,4,실제
S5,11,유포리아닉,ORIGINAL,PHOENIX,17,실제
S5,12,데몬 오브 라플라스,ORIGINAL,PHOENIX,39,실제
S5,13,블루이쉬 로즈,ORIGINAL,PHOENIX,40,실제
S5,14,스위트로닉,ORIGINAL,XX,9,실제
S5,15,금혼식,ORIGINAL,XX,24,실제
S5,16,아드레날린 블래스터,ORIGINAL,XX,30,실제
S5,17,디 엔드 오브 더 월드 ft. Skizzo,ORIGINAL,XX,43,실제
S5,18,더 레버리,ORIGINAL,XX,47,실제
S5,19,라스트 리버스,ORIGINAL,PRIME 2,4,실제
S5,20,오버블로우2,ORIGINAL,PRIME 2,18,실제
S5,21,앵귀시드 언메이킹,ORIGINAL,PRIME 2,22,실제
S5,22,헤이 유,ORIGINAL,PRIME 2,24,실제
S5,23,업 앤 업 (Produced by AWAL),ORIGINAL,PRIME 2,27,실제
S5,24,메테오라이즈,ORIGINAL,PRIME,13,실제
S5,25,매드 사이언스,ORIGINAL,PRIME,14,실제
S5,26,히아신스,ORIGINAL,PRIME,22,실제
S5,27,무브 댓 바디!,ORIGINAL,PRIME,28,실제
S5,28,스콜피온 킹,ORIGINAL,PRIME,29,실제
S5,29,로그인,ORIGINAL,FIESTA~FIESTA 2,11,실제
S5,30,여래아,ORIGINAL,FIESTA~FIESTA 2,14,실제
S5,31,위 갓 투 노우,ORIGINAL,FIESTA~FIESTA 2,27,실제
S5,32,네이티브,ORIGINAL,FIESTA~FIESTA 2,30,실제
S5,33,테크 -클럽 코펜하겐-,ORIGINAL,FIESTA~FIESTA 2,52,실제
S5,34,사람들은 몰랐다네,ORIGINAL,NX~NXA,4,실제
S5,35,케이.오.에이 : 엘리스 인 원더월드,ORIGINAL,NX~NXA,6,실제
S5,36,파이널 오디션 에피소드 2-X,ORIGINAL,NX~NXA,9,실제
S5,37,펌트리스 8비트 ver.,ORIGINAL,NX~NXA,16,실제
S5,38,아크 오브 다크니스,ORIGINAL,NX~NXA,30,실제
S5,39,건락,ORIGINAL,NX~NXA,34,실제
S5,40,투우사의 노래,ORIGINAL,NX~NXA,35,실제
S5,41,미운 오리 새끼,ORIGINAL,NX~NXA,36,실제
S5,42,비트 오브 더 워 2,ORIGINAL,1st~ZERO,5,실제
S5,43,제이 봉,ORIGINAL,1st~ZERO,14,실제
S5,44,하이 바이,ORIGINAL,1st~ZERO,15,실제
S5,45,파이널 오디션 3,ORIGINAL,1st~ZERO,22,실제
S5,46,엑스트림,ORIGINAL,1st~ZERO,27,실제
S5,47,겟 업!,ORIGINAL,1st~ZERO,28,실제
S5,48,디 갱,ORIGINAL,1st~ZERO,30,실제
S5,49,미션 파서블,ORIGINAL,1st~ZERO,39,실제
S5,50,펌프 점프,ORIGINAL,1st~ZERO,58,실제
S5,51,엔,ORIGINAL,1st~ZERO,59,실제
S5,52,롤링 크리스마스,ORIGINAL,1st~ZERO,60,실제
S5,53,올 아이 원트 포 크리스마스,ORIGINAL,1st~ZERO,61,실제
S5,54,사랑가,ORIGINAL,1st~ZERO,65,실제
S5,55,미스터 라푸스,ORIGINAL,1st~ZERO,67,실제
S5,56,태동,ORIGINAL,1st~ZERO,69,실제
S5,57,님과 함께,ORIGINAL,1st~ZERO,71,실제
S5,58,프리 스타일,ORIGINAL,1st~ZERO,75,실제
S5,59,펌핑업,ORIGINAL,1st~ZERO,78,실제
S5,60,바이너리 스타,WORLDMUSIC,PHOENIX,81,실제
S5,61,얼라이브,WORLDMUSIC,PHOENIX,124,실제
S5,62,팝 시퀀스,WORLDMUSIC,XX,67,실제
S5,63,라라,WORLDMUSIC,XX,75,실제
S5,64,브레인 파워,WORLDMUSIC,XX,82,실제
S5,65,허쉬,WORLDMUSIC,PRIME 2,43,실제
S5,66,요로피쿠 피쿠요로!,JMUSIC,PRIME,63,실제
S5,67,배드 애플!! feat. Nomico,JMUSIC,PRIME,68,실제
S5,68,바로크 바이러스,WORLDMUSIC,FIESTA~FIESTA 2,87,실제
S5,69,모노리스,WORLDMUSIC,FIESTA~FIESTA 2,91,실제
S5,70,레이디버그,WORLDMUSIC,FIESTA~FIESTA 2,92,실제
S5,71,키티 캣,WORLDMUSIC,FIESTA~FIESTA 2,93,실제
S5,72,트라이브 어택커,WORLDMUSIC,FIESTA~FIESTA 2,95,실제
S5,73,스타 커맨드,WORLDMUSIC,FIESTA~FIESTA 2,98,실제
S5,74,알레그로 콘 뿌오코,WORLDMUSIC,FIESTA~FIESTA 2,101,실제
S5,75,스위트 원더랜드,XROSS,PHOENIX,132,실제
S5,76,헬릭스,XROSS,PRIME 2,50,실제
S5,77,비주얼 드림 2 (인 픽션),XROSS,PRIME 2,57,실제
S5,78,크리스마스의 기억,XROSS,PRIME 2,60,실제
S5,79,레드라인,XROSS,PRIME 2,69,실제
S5,80,킬 뎀!,XROSS,PRIME 2,70,실제
S6,2,고민중독,KPOP,PHOENIX 2,2,실제
S6,3,뱅 뱅,KPOP,PHOENIX 2,4,실제
S6,4,스톰,KPOP,PHOENIX,1,실제
S6,5,풀 문,KPOP,XX,2,실제
S6,6,굿 나이트,KPOP,PRIME 2,2,실제
S6,7,디그니티,KPOP,1st~ZERO,2,실제
S6,8,또다른 진심,KPOP,1st~ZERO,4,실제
S6,9,쇼다운,ORIGINAL,PHOENIX,15,실제
S6,10,라크리모사,ORIGINAL,PHOENIX,31,실제
S6,11,요! 세이!! 페어리!!!,ORIGINAL,PHOENIX,37,실제
S6,12,웨딩 크래셔,ORIGINAL,XX,8,실제
S6,13,트란사칼리아,ORIGINAL,XX,11,실제
S6,14,디스트릭트 1,ORIGINAL,XX,15,실제
S6,15,퍼센트 엑스,ORIGINAL,XX,23,실제
S6,16,포세이돈,ORIGINAL,XX,29,실제
S6,17,배니쉬,ORIGINAL,XX,31,실제
S6,18,스타드림 (feat. Romelon),ORIGINAL,XX,39,실제
S6,19,파이어 오브 데스티니,ORIGINAL,XX,42,실제
S6,20,포가튼 뱀파이어,ORIGINAL,XX,44,실제
S6,21,아마겟돈,ORIGINAL,XX,45,실제
S6,22,리펜턴스,ORIGINAL,XX,46,실제
S6,23,알레그로 퓨리오소,ORIGINAL,PRIME 2,21,실제
S6,24,트위스트 오브 페이트 (feat. Ruriling),ORIGINAL,PRIME 2,25,실제
S6,25,유 갓 미 크레이지,ORIGINAL,PRIME,11,실제
S6,26,리무버블 디스코,ORIGINAL,PRIME,18,실제
S6,27,바이올렛 퍼퓸,ORIGINAL,PRIME,20,실제
S6,28,설탕음모론,ORIGINAL,PRIME,25,실제
S6,29,알레그로 피유 모쏘,ORIGINAL,PRIME,26,실제
S6,30,캄파넬라,ORIGINAL,PRIME,32,실제
S6,31,유 어게인 마이 러브,ORIGINAL,PRIME,33,실제
S6,32,모멘트 데이,ORIGINAL,PRIME,36,실제
S6,33,하이퍼큐브,ORIGINAL,PRIME,38,실제
S6,34,라이크 미,ORIGINAL,PRIME,39,실제
S6,35,유니크,ORIGINAL,FIESTA~FIESTA 2,6,실제
S6,36,유 갓 미 락킹,ORIGINAL,FIESTA~FIESTA 2,9,실제
S6,37,팔로우 미,ORIGINAL,FIESTA~FIESTA 2,13,실제
S6,38,리얼리티,ORIGINAL,FIESTA~FIESTA 2,23,실제
S6,39,버터플라이,ORIGINAL,FIESTA~FIESTA 2,25,실제
S6,40,헝가리 무곡 V,ORIGINAL,FIESTA~FIESTA 2,28,실제
